X,Y,OBJECTID,IncidentID,ReportDate,CapDate,Region,BMU,County,Locale,City,ZipCode,Latitude,Longitude,CapReason,OCapReason,NCapReason,CapMethod,OrigCap,FinAction,OFinAction,Sex,AgeClass,Weight,Age,Cubs,Yearlings,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date
531529.178100001,720334.3459,19294,,1996/06/07 00:00:00+00,1996/08/17 00:00:00+00,North Central,North,Columbia, , ,0,30.484019,-82.62868,Research, , ,Snare,Yes, , ,Male,Juvenile,95,2,0,0,233, , , ,233,0, ,
532227.391899999,719133.4299,19295,,1996/06/07 00:00:00+00,1996/08/18 00:00:00+00,North Central,North,Columbia, , ,0,30.473128,-82.621541,Research, , ,Snare,No, , ,Male,Juvenile,140,1,0,0,225, , , ,225,0, ,
534392.592700001,709110.2982,19296,,1996/06/07 00:00:00+00,1996/08/27 00:00:00+00,North Central,North,Columbia, , ,0,30.382598,-82.600157,Research, , ,Snare,Yes, , ,Female,Adult,150,4,0,0, , ,234, ,234,0, ,
550088.839000002,710264.0671,19297,,1996/06/07 00:00:00+00,1996/09/02 00:00:00+00,North Central,North,Baker, , ,0,30.391294,-82.436528,Research, , ,Snare,Yes, , ,Female,Adult,170,7,0,0, , ,235, ,235,0, ,
545582.079999998,717924.824,19298,,1996/06/07 00:00:00+00,1997/06/22 00:00:00+00,North Central,North,Columbia, , ,0,30.460825,-82.482488,Research, , ,Snare,Yes, , ,Male,Juvenile,150,1,0,0,239, , , ,239,0, ,
541133.632599998,717732.2959,19299,,1996/06/07 00:00:00+00,1997/06/23 00:00:00+00,North Central,North,Columbia, , ,0,30.459576,-82.528877,Research, , ,Snare,No, , ,Female,Juvenile,115,2,0,0, , ,227, ,227,0, ,
157004.105900001,730770.8286,19300,,1994/11/07 00:00:00+00,1995/06/08 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.562144,-86.535454,Research, , ,Snare,Yes, , ,Male,Juvenile,60,2.5,0,0, , , , ,9,0, ,
143325.484999999,722533.5451,19301,,1994/11/07 00:00:00+00,1995/06/10 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.485327,-86.67627,Research, , ,Snare,Yes, , ,Female,Juvenile,70,2.5,0,0,10, , , ,10,0, ,
156039.183400001,730193.6839,19302,,1994/11/07 00:00:00+00,1995/06/10 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.556765,-86.545395,Research, , ,Snare,Yes, , ,Male,Adult,170,5.5,0,0,11, ,11, ,11,0, ,
538930.214899998,711164.0315,19303,,1996/06/07 00:00:00+00,1996/07/11 00:00:00+00,North Central,North,Columbia, , ,0,30.40063,-82.552646,Research, , ,Snare,Yes, , ,Female,Juvenile,125,3,0,0, , ,219, ,219,0, ,
543230.8761,717789.7993,19304,,1996/06/07 00:00:00+00,1996/07/12 00:00:00+00,North Central,North,Columbia, , ,0,30.459867,-82.507011,Research, , ,Snare,Yes, , ,Male,Juvenile,120,3,0,0,218, , , ,218,0, ,
547018.9245,719354.5346,19305,,1996/06/07 00:00:00+00,1996/07/13 00:00:00+00,North Central,North,Columbia, , ,0,30.473547,-82.467327,Research, , ,Snare,Yes, , ,Male,Juvenile,90,1,0,0,220, , , ,220,0, ,
544078.408100002,710786.2847,19306,,1996/06/07 00:00:00+00,1996/12/16 00:00:00+00,North Central,North,Columbia, , ,0,30.396672,-82.499066,Research, , ,Snare,Yes, , ,Male,Adult,400,5,0,0,236, , , ,236,0, ,
544078.408100002,710786.2847,19307,,1996/06/07 00:00:00+00,1997/01/02 00:00:00+00,North Central,North,Columbia, , ,0,30.396672,-82.499066,Research, , ,Snare,No, , ,Male,Adult,250,3,0,0,216, , , ,216,0, ,
534074.049600001,719847.6334,19308,,1996/06/07 00:00:00+00,1997/07/15 00:00:00+00,North Central,North,Columbia, , ,0,30.479376,-82.602207,Research, , ,Snare,No, , ,Male,Juvenile,135,1,0,0,241, , , ,241,0, ,
546990.7676,719242.646,19309,,1996/06/07 00:00:00+00,1997/07/15 00:00:00+00,North Central,North,Columbia, , ,0,30.472542,-82.467635,Research, , ,Snare,No, , ,Male,Juvenile,140,1,0,0,239, , , ,239,0, ,
537674.254700001,719322.6491,19310,,1996/06/07 00:00:00+00,1997/07/17 00:00:00+00,North Central,North,Columbia, , ,0,30.474273,-82.56474,Research, , ,Snare,Yes, , ,Female,Juvenile,95,2,0,0, , ,243, ,243,0, ,
534731.134500001,713512.6962,19311,,1996/06/07 00:00:00+00,1997/08/29 00:00:00+00,North Central,North,Columbia, , ,0,30.422229,-82.596109,Research, , ,Snare,No, , ,Female,Adult,175,7,0,0, , ,246, ,246,0, ,
537868.027600002,712768.4781,19312,,1996/06/07 00:00:00+00,1997/09/02 00:00:00+00,North Central,North,Columbia, , ,0,30.415198,-82.563516,Research, , ,Snare,No, , ,Male,Adult,170,4,0,0,233, , , ,233,233, ,
540033.702100001,711903.2303,19313,,1996/06/07 00:00:00+00,1997/09/03 00:00:00+00,North Central,North,Columbia, , ,0,30.407173,-82.54106,Research, , ,Snare,No, , ,Female,Juvenile,105,2,0,0, , , , ,250,0, ,
541133.632599998,717732.2959,19314,,1996/06/07 00:00:00+00,1997/06/24 00:00:00+00,North Central,North,Columbia, , ,0,30.459576,-82.528877,Research, , ,Snare,No, , ,Male,Adult,175,4,0,0,218, , , ,218,0, ,
540873.867899999,720949.5918,19315,,1996/06/07 00:00:00+00,1997/06/27 00:00:00+00,North Central,North,Columbia, , ,0,30.488593,-82.531185,Research, , ,Snare,No, , ,Female,Adult,185,6,0,0,211, ,211, ,211,2, ,
541436.765900001,722196.8612,19316,,1996/06/07 00:00:00+00,1997/06/28 00:00:00+00,North Central,North,Columbia, , ,0,30.499771,-82.525161,Research, , ,Snare,No, , ,Male,Juvenile,240,3,0,0, , ,207, ,207,0, ,
156714.2269,733201.9444,19317,,1994/11/07 00:00:00+00,1997/06/30 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.583994,-86.539,Research, , ,Snare,No, , ,Male,Adult,250,3.5,0,0,25, ,25, ,25,0, ,
544978.111299999,718449.243,19318,,1996/06/07 00:00:00+00,1997/07/01 00:00:00+00,North Central,North,Columbia, , ,0,30.465617,-82.488716,Research, , ,Snare,No, , ,Female,Adult,120,8,0,0, , , , ,215,0, ,
